system,basis,label,N,variant,raw_dim,eff_dim,eff_frac,gs_err,s_min,s_max,cond_S,h_min_abs,cond_H,h_reg_min_abs,cond_H_reg,S_singular,H_singular
H2+H2,sto-3g,STO-3G,1,uab,1,1,1.0,0.04659107367465776,1.0,1.0,1.0,5.721183702987285,1.0,5.721183702987285,1.0,False,False
H2+H2,sto-3g,STO-3G,1,lanczos,1,1,1.0,0.04659107367465776,1.0,1.0,1.0,5.721183702987285,1.0,5.721183702987285,1.0,False,False
H2+H2,sto-3g,STO-3G,1,novel,1,1,1.0,0.04659107367465776,1.0,1.0,1.0,5.721183702987285,1.0,5.721183702987285,1.0,False,False
H2+H2,sto-3g,STO-3G,2,uab,2,2,1.0,0.018818068042040004,0.009745137886081555,1.990254862113918,204.2305491599549,0.03250728289568885,350.99396525054004,0.032507282895688404,350.9939652505448,False,False
H2+H2,sto-3g,STO-3G,2,lanczos,2,2,1.0,0.017323002766268303,1.0,1.0,1.0,2.7993410570873904,2.054216208966979,2.7993410570873904,2.0542162089669787,False,False
H2+H2,sto-3g,STO-3G,2,novel,4,4,1.0,0.006066127825089751,0.00011451274539106284,3.989322846393951,34837.36969863355,0.00019704420635152946,115919.60113748706,0.00019704420635211655,115919.60113714174,False,False
H2+H2,sto-3g,STO-3G,3,uab,3,3,1.0,0.006589149814113071,0.002554270422023479,2.9707941197854026,1163.0695380452144,0.003162567894868443,5392.0110741824,0.0031625678948674577,5392.01107418408,False,False
H2+H2,sto-3g,STO-3G,3,lanczos,3,3,1.0,0.00464750294042382,0.9999999999999998,1.0,1.0000000000000002,0.47098134177064543,12.236423744633173,0.47098134177064543,12.236423744633173,False,False
H2+H2,sto-3g,STO-3G,3,novel,9,9,1.0,0.0008736960968320773,8.455070058969771e-07,8.94715559592466,10582000.543487925,1.8656136770610301e-06,27466911.05954081,1.865613675342921e-06,27466911.084836062,False,False
H2+H2,sto-3g,STO-3G,4,uab,4,4,1.0,0.0014333704022417848,0.0009492242679546958,3.941670841161648,4152.517981503792,7.579768824887581e-05,298802.38161553117,7.579768824712152e-05,298802.38162244676,False,False
H2+H2,sto-3g,STO-3G,4,lanczos,4,4,1.0,0.0008146599322058634,0.9999999999999998,1.0000000000000002,1.0000000000000004,0.27105360027093317,21.276087500646874,0.27105360027093317,21.276087500646877,False,False
H2+H2,sto-3g,STO-3G,4,novel,16,16,1.0,0.00018660742658660467,4.2776313693142096e-10,15.849794904503215,37052736751.00306,3.37745295374558e-10,268671023440.6007,3.377415990051378e-10,268673963876.00467,False,False
H2+H2,sto-3g,STO-3G,5,uab,5,5,1.0,0.0005471217145531782,0.00020849120058052977,4.903551779717339,23519.22654799688,0.0001514837160561618,186157.89639702544,0.00015148371605629133,186157.89639686613,False,False
H2+H2,sto-3g,STO-3G,5,lanczos,5,5,1.0,0.00022878924508340504,1.0,1.0000000000000009,1.0000000000000009,0.6257511861076164,9.21699569327698,0.6257511861076169,9.216995693276969,False,False
H2+H2,sto-3g,STO-3G,5,novel,25,21,0.84,9.211669250497323e-06,3.3499893823108633e-13,24.680098702658746,73672169926801.72,1.031819197746871e-13,1368525494555570.5,1.3964120472939827e-10,1011213617516.9999,True,True
H2+H2,sto-3g,STO-3G,6,uab,6,6,1.0,0.00013924472727122605,5.904849362562315e-05,5.857640891581792,99200.51354265136,0.00014705170109386944,229273.85576583294,0.0001470517010984366,229273.85575871207,False,False
H2+H2,sto-3g,STO-3G,6,lanczos,6,6,1.0,4.192912101164126e-05,0.9999999999999994,1.0000000000000002,1.0000000000000009,0.0628237800552771,91.80811537392432,0.06282378005527528,91.80811537392701,False,False
H2+H2,sto-3g,STO-3G,6,novel,36,25,0.6944444444444444,8.830727296071927e-07,-2.8028838658950577e-15,35.410209948086255,1.263349166155286e+16,5.96335588455331e-16,3.395142448651778e+17,3.558783030290409e-12,56891478147832.31,True,True
H2+H2,6-31g,6-31G,1,uab,1,1,1.0,0.05992265024070953,1.0,1.0,1.0,5.858815327775677,1.0,5.858815327775677,1.0,False,False
H2+H2,6-31g,6-31G,1,lanczos,1,1,1.0,0.05992265024070953,1.0,1.0,1.0,5.858815327775677,1.0,5.858815327775677,1.0,False,False
H2+H2,6-31g,6-31G,1,novel,1,1,1.0,0.05992265024070953,1.0,1.0,1.0,5.858815327775677,1.0,5.858815327775677,1.0,False,False
H2+H2,6-31g,6-31G,2,uab,2,2,1.0,0.018813626769882852,0.000646033243461519,1.999353966756539,3094.8159200659316,0.001689316424892251,6935.314880321332,0.0016893164248928732,6935.314880318776,False,False
H2+H2,6-31g,6-31G,2,lanczos,2,2,1.0,0.018747716607132148,1.0,1.0000000000000002,1.0000000000000002,2.5768123527368085,2.2896468402687256,2.5768123527368085,2.2896468402687256,False,False
H2+H2,6-31g,6-31G,2,novel,4,4,1.0,0.018223623611694606,8.551867835740858e-07,3.99888701583777,4676039.308190901,2.223495957813428e-06,10537687.28891949,2.223495957464624e-06,10537687.29057256,False,False
H2+H2,6-31g,6-31G,3,uab,3,3,1.0,0.007836770206644417,6.732287059466371e-06,2.9974719599570014,445238.2872982534,6.635313132463149e-07,26479137.056800764,6.635313141292125e-07,26479137.021567512,False,False
H2+H2,6-31g,6-31G,3,lanczos,3,3,1.0,0.007761017455568009,1.0,1.0000000000000002,1.0000000000000002,0.03533410004582041,167.2881707159828,0.03533410004582003,167.28817071598456,False,False
