basis,R,joint_dim,use_sparse,E_exact_tot,E_exact_sum,delta_exact,norm_H_ab,n_terms_ab,partition_residual,dress_residual
sto-3g,1000.0,64,False,-2.2746120715067812,-2.2746120715067972,1.5987211554602254e-14,2.1761574322175954,55,1.5543122344752192e-15,1.7763568394002505e-15
sto-3g,100.0,64,False,-2.274612071504756,-2.2746120715067972,2.0410340084708878e-12,2.192827509673036,55,1.3322676295501878e-15,1.3322676295501878e-15
sto-3g,10.0,64,False,-2.2746119478617093,-2.2746120715067972,1.236450879460449e-07,2.439163462871275,232,1.2767564874351496e-15,1.3322676364052022e-15
sto-3g,1.1,64,False,-1.6275158749550256,-2.2746120715067972,0.6470961965517716,5.023193882982082,155,3.552830806943429e-15,3.552816166830563e-15
