N,E_joint_R1000,E_novel_R1000,E_mono_qkd,two_E_mono_qkd,two_E_mono_exact,SC_err_joint,SC_err_novel,ref_gap_P1_vs_P2,delta_P1,delta_P2_exact,delta_P2_qkd,err_P1,err_P2_exact,err_P2_qkd
3,-2.274612071506783,-2.2746120715067795,-1.1373060357533982,-2.2746120715067963,-2.2746120715067972,1.3322676295501878e-14,1.687538997430238e-14,1.4210854715202004e-14,0.6536853463658714,0.6536853463658856,0.6536853463658847,0.006589149814096196,0.006589149814110407,0.006589149814109518
4,-2.274612071506783,-2.274612071506784,-1.1373060357533986,-2.2746120715067972,-2.2746120715067972,1.4210854715202004e-14,1.3322676295501878e-14,1.4210854715202004e-14,0.6485295669540028,0.648529566954017,0.648529566954017,0.001433370402227574,0.0014333704022417848,0.0014333704022417848
5,-2.2746120715067812,-2.2746120715067777,-1.1373060357533982,-2.2746120715067963,-2.2746120715067972,1.509903313490213e-14,1.865174681370263e-14,1.5987211554602254e-14,0.6476433182663213,0.6476433182663373,0.6476433182663364,0.0005471217145460727,0.0005471217145620599,0.0005471217145611718
6,-2.274612071506784,-2.2746120715067812,-1.1373060357533982,-2.2746120715067963,-2.2746120715067972,1.2434497875801753e-14,1.509903313490213e-14,1.3322676295501878e-14,0.6472354412790402,0.6472354412790535,0.6472354412790526,0.0001392447272650088,0.00013924472727833148,0.0001392447272774433
