R,N,E_exact,E_joint,E_novel,delta_exact,delta_P1,delta_P2,delta_P3,err_P1,err_P2,err_P3,novel_raw_dim
1000.0,6,-2.2746120715067804,-2.2746120715067804,-2.274612071506782,1.687538997430238e-14,0.0,1.687538997430238e-14,1.509903313490213e-14,1.687538997430238e-14,0.0,1.7763568394002505e-15,36
100.0,6,-2.274612071504756,-2.274612071504753,-2.2746120715047553,2.0410340084708878e-12,2.027267242965536e-12,2.0441426329398382e-12,2.041922186890588e-12,1.3766765505351941e-14,3.1086244689504383e-15,8.881784197001252e-16,36
10.0,6,-2.2746119478617093,-2.2746119478595763,-2.2746119476762456,1.236450879460449e-07,1.2364720403112983e-07,1.236472209065198e-07,1.2383055159048695e-07,2.1160850849355484e-12,2.1329604749098507e-12,1.854636444420521e-10,36
1.1,6,-1.627515874955023,-1.6273766302277517,-1.62751499188645,0.6470961965517743,0.6472354412790287,0.6472354412790455,0.6470970796203472,0.00013924472725435066,0.00013924472727122605,8.830685729321885e-07,36
