N,E_joint_R1p1,E_joint_R1000,E_novel_R1p1,novel_raw_dim,delta_P1,delta_P2,delta_P3,err_P1,err_P2,err_P3,gs_err_joint,gs_err_novel,eff_dim_joint,eff_dim_novel
3,-1.6209267251409116,-2.274612071506783,-1.6266421788575984,9,0.6536853463658714,0.6536853463658856,0.6479698926491988,0.006589149814096196,0.006589149814110407,0.0008736960974236041,0.006589149814110407,0.0008736960974236041,3,9
4,-1.6260825045527803,-2.274612071506783,-1.6273292675285758,16,0.6485295669540028,0.648529566954017,0.6472828039782215,0.001433370402227574,0.0014333704022417848,0.00018660742644627248,0.0014333704022417848,0.00018660742644627248,4,16
5,-1.62696875324046,-2.2746120715067812,-1.6275066632860522,25,0.6476433182663213,0.6476433182663373,0.647105408220745,0.0005471217145460727,0.0005471217145620599,9.211668969832942e-06,0.0005471217145620599,9.211668969832942e-06,5,21
6,-1.6273766302277437,-2.274612071506784,-1.627514991881216,36,0.6472354412790402,0.6472354412790535,0.6470970796255813,0.0001392447272650088,0.00013924472727833148,8.830738060794374e-07,0.00013924472727833148,8.830738060794374e-07,6,25
