basis,R,joint_dim,use_sparse,E_exact_tot,E_exact_sum,delta_exact,norm_H_ab,n_terms_ab,partition_residual,dress_residual
6-31g,1000.0,16384,True,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,9.063706077370453,1369,1.4211700209713185e-14,1.4211685034789476e-14
6-31g,100.0,16384,True,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,9.137845438154953,2924,1.599223695873143e-14,1.599167467653133e-14
6-31g,10.0,16384,True,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,9.945932718777552,3297,1.4213315651911774e-14,1.4211052183985764e-14
6-31g,1.1,16384,True,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,14.966514433991083,2602,2.1318866157489983e-14,2.1318730657802693e-14
