R,E_exact_tot,E_exact_sum,delta_exact,norm_H_ab,n_terms_ab,partition_residual,dress_residual
1000.0,-2.2746120715067812,-2.274612071506798,1.687538997430238e-14,2.1761574322175954,55,1.9984014443252818e-15,1.7763568394002505e-15
100.0,-2.274612071504755,-2.274612071506798,2.043254454520138e-12,2.192827509673037,55,1.2212453270876722e-15,1.3322676295501878e-15
10.0,-2.274611947861711,-2.274612071506798,1.2364508705786648e-07,2.4391634640558557,248,1.2767564783311787e-15,8.881784197793969e-16
1.1,-1.62751587495503,-2.274612071506798,0.6470961965517681,5.023193882982094,155,1.7763628627274982e-15,1.7763640673833626e-15
