R,delta_exact,norm_H_ab,partition_residual,dress_residual,gs_err_novel_N4,delta_sc_novel_N4,gs_err_baseline_separate_N4,delta_sc_baseline_separate_N4,gs_err_baseline_dimer_N4,delta_sc_baseline_dimer_N4
1.1,0.6470961965517743,5.023193882982088,1.777223355755625e-15,2.2214565495463184e-15,0.00018660741883902432,0.6472828039706133,0.0014333704022568838,0.6485295669540312,0.0014333704022568838,0.0
10.0,1.2364507684381465e-07,2.439163464055856,1.1102230254695698e-15,8.881784631529522e-16,4.234140149605992e-09,1.2787921699342064e-07,7.567280135845067e-13,1.2364583357182823e-07,7.567280135845067e-13,8.881784197001252e-16
100.0,2.0410340084708878e-12,2.192827509673036,1.3322676295501878e-15,1.3322676295501878e-15,3.1086244689504383e-15,2.0441426329398382e-12,1.7763568394002505e-15,2.042810365310288e-12,1.7763568394002505e-15,1.7763568394002505e-15
1000.0,1.3322676295501878e-14,2.1761574322175967,1.5543122344752192e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.509903313490213e-14,1.7763568394002505e-15,1.509903313490213e-14,1.7763568394002505e-15,1.7763568394002505e-15
