system,basis,label,R,N,variant,raw_dim,eff_dim,gs_total,E_exact,E_mono_sum_qkd,delta_vs_mono,delta_vs_dimer1000,SC_err,gs_err,active,abs_vs_mono,abs_vs_dimer1000
H2+H2,sto-3g,STO-3G,1000.0,6,novel,36,4,-2.274612071506783,-2.2746120715067866,-2.2746120715067946,1.1546319456101628e-14,3.552713678800501e-15,1.1546319456101628e-14,3.552713678800501e-15,full,1.1546319456101628e-14,3.552713678800501e-15
H2+H2,sto-3g,STO-3G,1000.0,7,uab,49,4,-2.2746120715067875,-2.2746120715067866,-2.2746120715068,1.2434497875801753e-14,-8.881784197001252e-16,1.2434497875801753e-14,8.881784197001252e-16,full,1.2434497875801753e-14,8.881784197001252e-16
H2+H2,sto-3g,STO-3G,1000.0,7,joint,7,3,-2.2746120715067857,-2.2746120715067866,-2.2746120715068,1.4210854715202004e-14,8.881784197001252e-16,1.4210854715202004e-14,8.881784197001252e-16,full,1.4210854715202004e-14,8.881784197001252e-16
H2+H2,sto-3g,STO-3G,1000.0,7,novel,49,4,-2.2746120715067883,-2.2746120715067866,-2.2746120715068,1.1546319456101628e-14,-1.7763568394002505e-15,1.1546319456101628e-14,1.7763568394002505e-15,full,1.1546319456101628e-14,1.7763568394002505e-15
H2+H2,sto-3g,STO-3G,1000.0,8,uab,64,4,-2.274612071506783,-2.2746120715067866,-2.274612071506798,1.509903313490213e-14,3.552713678800501e-15,1.509903313490213e-14,3.552713678800501e-15,full,1.509903313490213e-14,3.552713678800501e-15
H2+H2,sto-3g,STO-3G,1000.0,8,joint,8,3,-2.274612071506785,-2.2746120715067866,-2.274612071506798,1.3322676295501878e-14,1.7763568394002505e-15,1.3322676295501878e-14,1.7763568394002505e-15,full,1.3322676295501878e-14,1.7763568394002505e-15
H2+H2,sto-3g,STO-3G,1000.0,8,novel,64,4,-2.274612071506785,-2.2746120715067866,-2.274612071506798,1.3322676295501878e-14,1.7763568394002505e-15,1.3322676295501878e-14,1.7763568394002505e-15,full,1.3322676295501878e-14,1.7763568394002505e-15
H2+H4,sto-3g,STO-3G,1000.0,1,uab,1,1,-3.2119531563733767,-3.272840634140196,-3.2119531563733514,-2.531308496145357e-14,0.06088747776681913,2.531308496145357e-14,0.06088747776681913,full,2.531308496145357e-14,0.06088747776681913
H2+H4,sto-3g,STO-3G,1000.0,1,joint,1,1,-3.2119531563733767,-3.272840634140196,-3.2119531563733514,-2.531308496145357e-14,0.06088747776681913,2.531308496145357e-14,0.06088747776681913,full,2.531308496145357e-14,0.06088747776681913
H2+H4,sto-3g,STO-3G,1000.0,1,novel,1,1,-3.2119531563733767,-3.272840634140196,-3.2119531563733514,-2.531308496145357e-14,0.06088747776681913,2.531308496145357e-14,0.06088747776681913,full,2.531308496145357e-14,0.06088747776681913
H2+H4,sto-3g,STO-3G,1000.0,2,uab,4,4,-3.270640414519935,-3.272840634140196,-3.2658528451422586,-0.004787569377676437,0.002200219620260846,0.004787569377676437,0.002200219620260846,full,0.004787569377676437,0.002200219620260846
H2+H4,sto-3g,STO-3G,1000.0,2,joint,2,2,-3.264092668267204,-3.272840634140196,-3.2658528451422586,0.0017601768750545865,0.00874796587299187,0.0017601768750545865,0.00874796587299187,full,0.0017601768750545865,0.00874796587299187
H2+H4,sto-3g,STO-3G,1000.0,2,novel,4,4,-3.265850650786529,-3.272840634140196,-3.2658528451422586,2.1943557295678318e-06,0.006989983353666851,2.1943557295678318e-06,0.006989983353666851,full,2.1943557295678318e-06,0.006989983353666851
H2+H4,sto-3g,STO-3G,1000.0,3,uab,9,9,-3.272514893756944,-3.272840634140196,-3.271386212073381,-0.0011286816835629487,0.00032574038325172694,0.0011286816835629487,0.00032574038325172694,full,0.0011286816835629487,0.00032574038325172694
H2+H4,sto-3g,STO-3G,1000.0,3,joint,3,3,-3.27120343680901,-3.272840634140196,-3.271386212073381,0.00018277526437104896,0.0016371973311857246,0.00018277526437104896,0.0016371973311857246,full,0.00018277526437104896,0.0016371973311857246
H2+H4,sto-3g,STO-3G,1000.0,3,novel,9,9,-3.2715264925189285,-3.272840634140196,-3.271386212073381,-0.00014028044554725838,0.0013141416212674173,0.00014028044554725838,0.0013141416212674173,full,0.00014028044554725838,0.0013141416212674173
H2+H4,sto-3g,STO-3G,1000.0,4,uab,16,15,-3.272824622744733,-3.272840634140196,-3.27254417526674,-0.00028044747799294,1.6011395462811606e-05,0.00028044747799294,1.6011395462811606e-05,full,0.00028044747799294,1.6011395462811606e-05
H2+H4,sto-3g,STO-3G,1000.0,4,joint,4,4,-3.2723912520450087,-3.272840634140196,-3.27254417526674,0.00015292322173143802,0.00044938209518718963,0.00015292322173143802,0.00044938209518718963,full,0.00015292322173143802,0.00044938209518718963
H2+H4,sto-3g,STO-3G,1000.0,4,novel,16,15,-3.272494969733584,-3.272840634140196,-3.27254417526674,4.9205533156015946e-05,0.00034566440661176756,4.9205533156015946e-05,0.00034566440661176756,full,4.9205533156015946e-05,0.00034566440661176756
H2+H4,sto-3g,STO-3G,1000.0,5,uab,25,20,-3.2728392994681803,-3.272840634140196,-3.2727735345735627,-6.576489461762591e-05,1.3346720155738012e-06,6.576489461762591e-05,1.3346720155738012e-06,full,6.576489461762591e-05,1.3346720155738012e-06
H2+H4,sto-3g,STO-3G,1000.0,5,joint,5,5,-3.2727011871003944,-3.272840634140196,-3.2727735345735627,7.234747316831047e-05,0.00013944703980151019,7.234747316831047e-05,0.00013944703980151019,full,7.234747316831047e-05,0.00013944703980151019
H2+H4,sto-3g,STO-3G,1000.0,5,novel,25,19,-3.2726157842793206,-3.272840634140196,-3.2727735345735627,0.00015775029424203169,0.0002248498608752314,0.00015775029424203169,0.0002248498608752314,full,0.00015775029424203169,0.0002248498608752314
H2+H4,sto-3g,STO-3G,1000.0,6,uab,36,23,-3.2728402171444397,-3.272840634140196,-3.272829751481791,-1.0465662648950769e-05,4.16995756147287e-07,1.0465662648950769e-05,4.16995756147287e-07,full,1.0465662648950769e-05,4.16995756147287e-07
H2+H4,sto-3g,STO-3G,1000.0,6,joint,6,6,-3.2728013678058945,-3.272840634140196,-3.272829751481791,2.8383675896304084e-05,3.926633430140214e-05,2.8383675896304084e-05,3.926633430140214e-05,full,2.8383675896304084e-05,3.926633430140214e-05
H2+H4,sto-3g,STO-3G,1000.0,6,novel,36,23,-3.2726710817119375,-3.272840634140196,-3.272829751481791,0.00015866976985323689,0.00016955242825833494,0.00015866976985323689,0.00016955242825833494,full,0.00015866976985323689,0.00016955242825833494
H2+H4,sto-3g,STO-3G,1000.0,7,uab,49,27,-3.2728405479430185,-3.272840634140196,-3.272838391907077,-2.1560359413363983e-06,8.619717739577482e-08,2.1560359413363983e-06,8.619717739577482e-08,full,2.1560359413363983e-06,8.619717739577482e-08
H2+H4,sto-3g,STO-3G,1000.0,7,joint,7,7,-3.272831596001719,-3.272840634140196,-3.272838391907077,6.7959053580146644e-06,9.038138476746838e-06,6.7959053580146644e-06,9.038138476746838e-06,full,6.7959053580146644e-06,9.038138476746838e-06
H2+H4,sto-3g,STO-3G,1000.0,7,novel,49,28,-3.2727619055216497,-3.272840634140196,-3.272838391907077,7.648638542745445e-05,7.872861854618662e-05,7.648638542745445e-05,7.872861854618662e-05,full,7.648638542745445e-05,7.872861854618662e-05
H2+H4,sto-3g,STO-3G,1000.0,8,uab,64,30,-3.2728406105327723,-3.272840634140196,-3.272840525292299,-8.524047334645957e-08,2.360742357154777e-08,8.524047334645957e-08,2.360742357154777e-08,full,8.524047334645957e-08,2.360742357154777e-08
H2+H4,sto-3g,STO-3G,1000.0,8,joint,8,8,-3.2728375859028827,-3.272840634140196,-3.272840525292299,2.9393894163121104e-06,3.0482373132301177e-06,2.9393894163121104e-06,3.0482373132301177e-06,full,2.9393894163121104e-06,3.0482373132301177e-06
H2+H4,sto-3g,STO-3G,1000.0,8,novel,64,31,-3.2727972209928824,-3.272840634140196,-3.272840525292299,4.330429941656888e-05,4.341314731348689e-05,4.330429941656888e-05,4.341314731348689e-05,full,4.330429941656888e-05,4.341314731348689e-05
H2+H2,6-31g,6-31G,1000.0,1,uab,1,1,-2.2536187162559695,-2.3032286398829855,-2.25361871625599,2.042810365310288e-14,0.049609923627015995,2.042810365310288e-14,0.049609923627015995,full,2.042810365310288e-14,0.049609923627015995
H2+H2,6-31g,6-31G,1000.0,1,joint,1,1,-2.2536187162559695,-2.3032286398829855,-2.25361871625599,2.042810365310288e-14,0.049609923627015995,2.042810365310288e-14,0.049609923627015995,full,2.042810365310288e-14,0.049609923627015995
H2+H2,6-31g,6-31G,1000.0,1,novel,1,1,-2.2536187162559695,-2.3032286398829855,-2.25361871625599,2.042810365310288e-14,0.049609923627015995,2.042810365310288e-14,0.049609923627015995,full,2.042810365310288e-14,0.049609923627015995
H2+H2,6-31g,6-31G,1000.0,2,uab,4,4,-2.2999726903459496,-2.3032286398829855,-2.296910359675045,-0.003062330670904778,0.003255949537035896,0.003062330670904778,0.003255949537035896,full,0.003062330670904778,0.003255949537035896
H2+H2,6-31g,6-31G,1000.0,2,joint,2,2,-2.2965137432472718,-2.3032286398829855,-2.296910359675045,0.000396616427773111,0.006714896635713785,0.000396616427773111,0.006714896635713785,full,0.000396616427773111,0.006714896635713785
H2+H2,6-31g,6-31G,1000.0,2,novel,4,4,-2.2973350693407175,-2.3032286398829855,-2.296910359675045,-0.0004247096656726512,0.005893570542268023,0.0004247096656726512,0.005893570542268023,full,0.0004247096656726512,0.005893570542268023
H2+H2,6-31g,6-31G,1000.0,3,uab,9,8,-2.302848674249592,-2.3032286398829855,-2.3025395188330444,-0.00030915541654774614,0.0003799656333933754,0.00030915541654774614,0.0003799656333933754,full,0.00030915541654774614,0.0003799656333933754
H2+H2,6-31g,6-31G,1000.0,3,joint,3,3,-2.3018942443666734,-2.3032286398829855,-2.3025395188330444,0.0006452744663709709,0.0013343955163120924,0.0006452744663709709,0.0013343955163120924,full,0.0006452744663709709,0.0013343955163120924
H2+H2,6-31g,6-31G,1000.0,3,novel,9,8,-2.301921348222977,-2.3032286398829855,-2.3025395188330444,0.0006181706100676365,0.001307291660008758,0.0006181706100676365,0.001307291660008758,full,0.0006181706100676365,0.001307291660008758
H2+H2,6-31g,6-31G,1000.0,4,uab,16,13,-2.303176631169448,-2.3032286398829855,-2.303226628010986,4.9996841537947034e-05,5.200871353761016e-05,4.9996841537947034e-05,5.200871353761016e-05,full,4.9996841537947034e-05,5.200871353761016e-05
H2+H2,6-31g,6-31G,1000.0,4,joint,4,4,-2.302898859702532,-2.3032286398829855,-2.303226628010986,0.0003277683084537131,0.0003297801804533762,0.0003277683084537131,0.0003297801804533762,full,0.0003277683084537131,0.0003297801804533762
H2+H2,6-31g,6-31G,1000.0,4,novel,16,13,-2.3020842759261413,-2.3032286398829855,-2.303226628010986,0.001142352084844589,0.001144363956844252,0.001142352084844589,0.001144363956844252,full,0.001142352084844589,0.001144363956844252
H2+H2,6-31g,6-31G,1000.0,5,uab,25,15,-2.303194880797067,-2.3032286398829855,-2.303226585920526,3.1705123459069284e-05,3.375908591873866e-05,3.1705123459069284e-05,3.375908591873866e-05,full,3.1705123459069284e-05,3.375908591873866e-05
H2+H2,6-31g,6-31G,1000.0,5,joint,5,5,-2.303192061486972,-2.3032286398829855,-2.303226585920526,3.4524433553784206e-05,3.6578396013453585e-05,3.4524433553784206e-05,3.6578396013453585e-05,full,3.4524433553784206e-05,3.6578396013453585e-05
H2+H2,6-31g,6-31G,1000.0,5,novel,25,14,-2.302335445656272,-2.3032286398829855,-2.303226585920526,0.0008911402642537425,0.0008931942267134119,0.0008911402642537425,0.0008931942267134119,full,0.0008911402642537425,0.0008931942267134119
H2+H2,6-31g,6-31G,1000.0,6,uab,36,17,-2.3032206360105922,-2.3032286398829855,-2.303226533275156,5.897264563792248e-06,8.003872393302913e-06,5.897264563792248e-06,8.003872393302913e-06,full,5.897264563792248e-06,8.003872393302913e-06
H2+H2,6-31g,6-31G,1000.0,6,joint,6,5,-2.3031912432885298,-2.3032286398829855,-2.303226533275156,3.528998662627458e-05,3.739659445578525e-05,3.528998662627458e-05,3.739659445578525e-05,full,3.528998662627458e-05,3.739659445578525e-05
H2+H2,6-31g,6-31G,1000.0,6,novel,36,18,-2.302475628126685,-2.3032286398829855,-2.303226533275156,0.0007509051484708706,0.0007530117563003813,0.0007509051484708706,0.0007530117563003813,full,0.0007509051484708706,0.0007530117563003813
