system,basis,label,N,variant,raw_dim,eff_dim,gs_total,gs_err,E_mono_sum_qkd,delta,delta_exact,err_int
H2+H2,sto-3g,STO-3G,4,novel,16,16,-1.6273292675103788,0.00018660744464593648,-2.2746120715067963,0.6472828039964176,0.6470961965517734,0.00018660744464416013
H2+H2,sto-3g,STO-3G,5,uab,25,21,-1.6275153049119924,5.700430323329897e-07,-2.2746120715067963,0.647096766594804,0.6470961965517734,5.700430305566329e-07
H2+H2,sto-3g,STO-3G,5,joint,5,5,-1.6269687532404653,0.0005471217145593954,-2.2746120715067963,0.647643318266331,0.6470961965517734,0.000547121714557619
H2+H2,sto-3g,STO-3G,5,novel,25,21,-1.627506663287238,9.211667786779287e-06,-2.2746120715067963,0.6471054082195584,0.6470961965517734,9.21166778500293e-06
H2+H2,sto-3g,STO-3G,6,uab,36,25,-1.6275158513938868,2.3561137929561937e-08,-2.2746120715067972,0.6470962201129105,0.6470961965517734,2.3561137041383517e-08
H2+H2,sto-3g,STO-3G,6,joint,6,6,-1.6273766302277588,0.00013924472726589698,-2.2746120715067972,0.6472354412790384,0.6470961965517734,0.0001392447272650088
H2+H2,sto-3g,STO-3G,6,novel,36,25,-1.62751499188274,8.830722846298045e-07,-2.2746120715067972,0.6470970796240572,0.6470961965517734,8.83072283741626e-07
H2+H2,6-31g,6-31G,1,uab,1,1,-1.718556426068763,0.059922650240692654,-2.2536187162559873,0.5350622901872244,0.524749563565047,0.010312726622177415
H2+H2,6-31g,6-31G,1,joint,1,1,-1.718556426068763,0.059922650240692654,-2.2536187162559873,0.5350622901872244,0.524749563565047,0.010312726622177415
H2+H2,6-31g,6-31G,1,novel,1,1,-1.718556426068763,0.059922650240692654,-2.2536187162559873,0.5350622901872244,0.524749563565047,0.010312726622177415
H2+H2,6-31g,6-31G,2,uab,4,4,-1.7692634458703917,0.009215630439063816,-2.296330947480703,0.5270675016103112,0.524749563565047,0.002317938045264256
H2+H2,6-31g,6-31G,2,joint,2,2,-1.7596654495396145,0.018813626769841107,-2.296330947480703,0.5366654979410885,0.524749563565047,0.011915934376041548
H2+H2,6-31g,6-31G,2,novel,4,4,-1.760255452697833,0.018223623611622664,-2.296330947480703,0.5360754947828701,0.524749563565047,0.011325931217823104
H2+H2,6-31g,6-31G,3,uab,9,8,-1.7742413617168662,0.00423771459258937,-2.3024065057070073,0.5281651439901411,0.524749563565047,0.0034155804250941557
H2+H2,6-31g,6-31G,3,joint,3,3,-1.770642306104011,0.007836770205444488,-2.3024065057070073,0.5317641996029963,0.524749563565047,0.007014636037949273
H2+H2,6-31g,6-31G,3,novel,9,8,-1.7712893582628793,0.00718971804657631,-2.3024065057070073,0.5311171474441281,0.524749563565047,0.006367583879081096
H2+H2,6-31g,6-31G,4,uab,16,13,-1.7768089650587706,0.001670111250684947,-2.303225998564697,0.5264170335059264,0.524749563565047,0.001667469940879407
H2+H2,6-31g,6-31G,4,joint,4,4,-1.774695463677916,0.00378361263153959,-2.303225998564697,0.528530534886781,0.524749563565047,0.00378097132173405
H2+H2,6-31g,6-31G,4,novel,16,13,-1.772538040506796,0.005941035802659478,-2.303225998564697,0.5306879580579009,0.524749563565047,0.005938394492853938
H2+H2,6-31g,6-31G,5,uab,25,14,-1.776986424504729,0.0014926518047264636,-2.303228636125085,0.5262422116203558,0.524749563565047,0.0014926480553087984
H2+H2,6-31g,6-31G,5,joint,5,5,-1.7766767483551567,0.0018023279542989101,-2.303228636125085,0.5265518877699282,0.524749563565047,0.001802324204881245
H2+H2,6-31g,6-31G,5,novel,25,14,-1.772646456245373,0.005832620064082583,-2.303228636125085,0.5305821798797119,0.524749563565047,0.005832616314664918
H2+H2,6-31g,6-31G,6,uab,36,17,-1.7776309095538165,0.0008481667556390349,-2.303228635314561,0.5255977257607443,0.524749563565047,0.0008481621956972774
H2+H2,6-31g,6-31G,6,joint,6,5,-1.7766552696258922,0.0018238066835634115,-2.303228635314561,0.5265733656886686,0.524749563565047,0.001823802123621654
H2+H2,6-31g,6-31G,6,novel,36,17,-1.772766022011547,0.005713054297908471,-2.303228635314561,0.5304626133030137,0.524749563565047,0.005713049737966713
