system,basis,label,N,variant,raw_dim,eff_dim,gs_total,gs_err,E_mono_sum_qkd,delta,delta_exact,err_int
H2+H2,sto-3g,STO-3G,1,uab,1,1,-1.5809248012803634,0.04659107367466131,-2.233997993508006,0.6530731922276427,0.6470961965517734,0.00597699567586929
H2+H2,sto-3g,STO-3G,1,joint,1,1,-1.5809248012803634,0.04659107367466131,-2.233997993508006,0.6530731922276427,0.6470961965517734,0.00597699567586929
H2+H2,sto-3g,STO-3G,1,novel,1,1,-1.5809248012803634,0.04659107367466131,-2.233997993508006,0.6530731922276427,0.6470961965517734,0.00597699567586929
H2+H2,sto-3g,STO-3G,2,uab,4,4,-1.6223001502322614,0.005215724722763326,-2.274612071506799,0.6523119212745376,0.6470961965517734,0.0052157247227642145
H2+H2,sto-3g,STO-3G,2,joint,2,2,-1.6086978069129811,0.018818068042043556,-2.274612071506799,0.6659142645938179,0.6470961965517734,0.018818068042044445
H2+H2,sto-3g,STO-3G,2,novel,4,4,-1.6214497471299492,0.00606612782507554,-2.274612071506799,0.6531623243768498,0.6470961965517734,0.006066127825076428
H2+H2,sto-3g,STO-3G,3,uab,9,9,-1.627205457087424,0.0003104178676007763,-2.2746120715067972,0.6474066144193733,0.6470961965517734,0.0003104178675998881
H2+H2,sto-3g,STO-3G,3,joint,3,3,-1.6209267251409107,0.006589149814113959,-2.2746120715067972,0.6536853463658865,0.6470961965517734,0.006589149814113071
H2+H2,sto-3g,STO-3G,3,novel,9,9,-1.626642178858055,0.0008736960969697449,-2.2746120715067972,0.6479698926487423,0.6470961965517734,0.0008736960969688568
H2+H2,sto-3g,STO-3G,4,uab,16,16,-1.6275113210828982,4.55387212650038e-06,-2.2746120715067963,0.6471007504238981,0.6470961965517734,4.553872124724023e-06
H2+H2,sto-3g,STO-3G,4,joint,4,4,-1.6260825045527838,0.0014333704022408966,-2.2746120715067963,0.6485295669540125,0.6470961965517734,0.0014333704022391203
