system,basis,label,active,subtraction,N,variant,raw_dim,eff_dim,gs_total,gs_err,delta,delta_exact,err_int
H2+H4,6-31g,6-31G,cas66,cas_R1000,3,joint,3,3,-3.259464730881941,0.0007696196479329842,0.029628361255662483,0.0288587416077295,0.0007696196479329842
H2+H4,6-31g,6-31G,cas66,cas_R1000,3,novel,9,9,-3.2595906560038834,0.0006436945259906679,0.029502436133720167,0.0288587416077295,0.0006436945259906679
H2+H4,6-31g,6-31G,cas66,cas_R1000,4,uab,16,13,-3.260164319305984,7.003122389015459e-05,0.028928772831619654,0.0288587416077295,7.003122389015459e-05
H2+H4,6-31g,6-31G,cas66,cas_R1000,4,joint,4,4,-3.2599942484495497,0.0002401020803244336,0.029098843688053933,0.0288587416077295,0.0002401020803244336
H2+H4,6-31g,6-31G,cas66,cas_R1000,4,novel,16,13,-3.259722298143469,0.0005120523864050597,0.02937079399413456,0.0288587416077295,0.0005120523864050597
H2+H4,6-31g,6-31G,cas66,cas_R1000,5,uab,25,18,-3.2602128200523683,2.153047750574899e-05,0.028880272085235248,0.0288587416077295,2.153047750574899e-05
H2+H4,6-31g,6-31G,cas66,cas_R1000,5,joint,5,5,-3.2601631521289036,7.119840097047359e-05,0.028929940008699973,0.0288587416077295,7.119840097047359e-05
H2+H4,6-31g,6-31G,cas66,cas_R1000,5,novel,25,18,-3.259747845457575,0.0004865050722990816,0.02934524668002858,0.0288587416077295,0.0004865050722990816
H2+H4,6-31g,6-31G,cas66,cas_R1000,6,uab,36,19,-3.260211988911518,2.2361618356114832e-05,0.028881103226085614,0.0288587416077295,2.2361618356114832e-05
H2+H4,6-31g,6-31G,cas66,cas_R1000,6,joint,6,6,-3.2602098425116672,2.4508018206859106e-05,0.028883249625936358,0.0288587416077295,2.4508018206859106e-05
H2+H4,6-31g,6-31G,cas66,cas_R1000,6,novel,36,20,-3.2597496885934767,0.0004846619363974014,0.0293434035441269,0.0288587416077295,0.0004846619363974014
