system,basis,label,N,variant,raw_dim,eff_dim,gs_total,gs_err,delta,delta_exact,err_int
H2+H4,sto-3g,STO-3G,1,cross_product,1,1,-3.2153783881844946,0.06169143119902376,0.06169143119902465,8.881784197001252e-16,0.06169143119902376
H2+H4,sto-3g,STO-3G,1,joint,1,1,-3.2153783881844946,0.06169143119902376,0.06169143119902465,8.881784197001252e-16,0.06169143119902376
H2+H4,sto-3g,STO-3G,2,cross_product,4,4,-3.269913748405641,0.0071560709778775156,0.007156070977878404,8.881784197001252e-16,0.0071560709778775156
H2+H4,sto-3g,STO-3G,2,joint,2,2,-3.268141237486292,0.00892858189722645,0.008928581897227339,8.881784197001252e-16,0.00892858189722645
H2+H4,sto-3g,STO-3G,3,cross_product,9,6,-3.2755463564618768,0.0015234629216416273,0.0015234629216425155,8.881784197001252e-16,0.0015234629216416273
H2+H4,sto-3g,STO-3G,3,joint,3,3,-3.2753522154802726,0.0017176039032458235,0.0017176039032467116,8.881784197001252e-16,0.0017176039032458235
H2+H4,sto-3g,STO-3G,4,cross_product,16,8,-3.2767496823628965,0.0003201370206218357,0.00032013702062272387,8.881784197001252e-16,0.0003201370206218357
H2+H4,sto-3g,STO-3G,4,joint,4,4,-3.27658655587911,0.0004832635044085265,0.0004832635044094147,8.881784197001252e-16,0.0004832635044085265
H2+H4,sto-3g,STO-3G,5,cross_product,25,10,-3.276995019198272,7.480018524619325e-05,7.480018524708143e-05,8.881784197001252e-16,7.480018524619325e-05
H2+H4,sto-3g,STO-3G,5,joint,5,5,-3.2769157394913258,0.00015407989219262674,0.00015407989219351492,8.881784197001252e-16,0.00015407989219262674
H2+H4,sto-3g,STO-3G,6,cross_product,36,12,-3.2770573981420945,1.2421241423865581e-05,1.242124142475376e-05,8.881784197001252e-16,1.2421241423865581e-05
H2+H4,sto-3g,STO-3G,6,joint,6,6,-3.277024384277034,4.543510648424842e-05,4.54351064851366e-05,8.881784197001252e-16,4.543510648424842e-05
H2+H4,sto-3g,STO-3G,7,cross_product,49,14,-3.2770672021893814,2.617194136966816e-06,2.6171941378549946e-06,8.881784197001252e-16,2.617194136966816e-06
H2+H4,sto-3g,STO-3G,7,joint,7,7,-3.2770587043778523,1.1115005666084699e-05,1.1115005666972877e-05,8.881784197001252e-16,1.1115005666084699e-05
H2+H4,sto-3g,STO-3G,8,cross_product,64,16,-3.277069688787438,1.3059608017229607e-07,1.305960810604745e-07,8.881784197001252e-16,1.3059608017229607e-07
H2+H4,sto-3g,STO-3G,8,joint,8,8,-3.2770659292551065,3.890128411843108e-06,3.890128412731286e-06,8.881784197001252e-16,3.890128411843108e-06
H2+H4,6-31g,6-31G,1,cross_product,1,1,-3.27322058435266,0.0780124442843575,0.07801244428435172,-5.773159728050814e-15,0.0780124442843575
H2+H4,6-31g,6-31G,1,joint,1,1,-3.27322058435266,0.0780124442843575,0.07801244428435172,-5.773159728050814e-15,0.0780124442843575
H2+H4,6-31g,6-31G,2,cross_product,4,4,-3.338509758551329,0.012723270085688299,0.012723270085682525,-5.773159728050814e-15,0.012723270085688299
H2+H4,6-31g,6-31G,2,joint,2,2,-3.3375649278714636,0.013668100765553692,0.01366810076554792,-5.773159728050814e-15,0.013668100765553692
H2+H4,6-31g,6-31G,3,cross_product,9,9,-3.347806376538187,0.0034266520988301963,0.003426652098824423,-5.773159728050814e-15,0.0034266520988301963
H2+H4,6-31g,6-31G,3,joint,3,3,-3.3468320915314598,0.004400937105557556,0.004400937105551783,-5.773159728050814e-15,0.004400937105557556
H2+H4,6-31g,6-31G,4,cross_product,16,15,-3.3500061787467517,0.0012268498902656688,0.0012268498902598957,-5.773159728050814e-15,0.0012268498902656688
H2+H4,6-31g,6-31G,4,joint,4,4,-3.3495975107690925,0.0016355178679248183,0.0016355178679190452,-5.773159728050814e-15,0.0016355178679248183
