system,basis,label,N,variant,raw_dim,eff_dim,gs_total,E_exact,E_mono_sum_ref,delta_vs_mono,delta_vs_dimer1000,abs_vs_mono,abs_vs_dimer1000,dropped
H2+H2,sto-3g,STO-3G,4,cp_lanczos,4,4,-2.2745403493218053,-2.2745403493218053,-2.2745403493218053,0.0,0.0,0.0,0.0,0
H2+H2,sto-3g,STO-3G,5,cross_product,25,4,-2.2745403493218066,-2.2745403493218053,-2.274540349321804,-2.6645352591003757e-15,-1.3322676295501878e-15,2.6645352591003757e-15,1.3322676295501878e-15,21
H2+H2,sto-3g,STO-3G,5,joint,5,3,-2.274540349321805,-2.2745403493218053,-2.274540349321804,-8.881784197001252e-16,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16,2
H2+H2,sto-3g,STO-3G,5,cp_lanczos,4,4,-2.2745403493218053,-2.2745403493218053,-2.2745403493218053,0.0,0.0,0.0,0.0,0
H2+H2,sto-3g,STO-3G,6,cross_product,36,4,-2.274540349321805,-2.2745403493218053,-2.2745403493218053,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,32
H2+H2,sto-3g,STO-3G,6,joint,6,3,-2.2745403493218057,-2.2745403493218053,-2.2745403493218053,-4.440892098500626e-16,-4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,3
H2+H2,sto-3g,STO-3G,6,cp_lanczos,4,4,-2.2745403493218053,-2.2745403493218053,-2.2745403493218053,0.0,0.0,0.0,0.0,0
H2+H2,sto-3g,STO-3G,7,cross_product,49,4,-2.2745403493218066,-2.2745403493218053,-2.2745403493218053,-1.3322676295501878e-15,-1.3322676295501878e-15,1.3322676295501878e-15,1.3322676295501878e-15,45
H2+H2,sto-3g,STO-3G,7,joint,7,3,-2.2745403493218053,-2.2745403493218053,-2.2745403493218053,0.0,0.0,0.0,0.0,4
H2+H2,sto-3g,STO-3G,7,cp_lanczos,4,4,-2.2745403493218053,-2.2745403493218053,-2.2745403493218053,0.0,0.0,0.0,0.0,0
H2+H2,sto-3g,STO-3G,8,cross_product,64,4,-2.2745403493218026,-2.2745403493218053,-2.2745403493218044,1.7763568394002505e-15,2.6645352591003757e-15,1.7763568394002505e-15,2.6645352591003757e-15,60
H2+H2,sto-3g,STO-3G,8,joint,8,3,-2.274540349321805,-2.2745403493218053,-2.2745403493218044,-4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,5
