system,basis,label,N,variant,raw_dim,eff_dim,E_R11,E_kron,delta,delta_exact,err_int
H2+H4,sto-3g,STO-3G,1,cross_product,1,1,-3.177176805299273,-3.2153783881844937,0.03820158288522091,0.038658738563946304,0.0004571556787253961
H2+H4,sto-3g,STO-3G,1,joint,1,1,-3.177176805299273,-3.2153783881844937,0.03820158288522091,0.038658738563946304,0.0004571556787253961
H2+H4,sto-3g,STO-3G,2,cross_product,4,4,-3.2356093136011976,-3.2699137484056315,0.0343044348044339,0.038658738563946304,0.004354303759512401
H2+H4,sto-3g,STO-3G,2,joint,2,2,-3.2291698482500566,-3.268141237486292,0.03897138923623533,0.038658738563946304,0.00031265067228902765
H2+H4,sto-3g,STO-3G,3,cross_product,9,9,-3.2378713488419324,-3.2755463564618754,0.037675007619943024,0.038658738563946304,0.0009837309440032804
H2+H4,sto-3g,STO-3G,3,joint,3,3,-3.2362200952872167,-3.275352215480275,0.03913212019305856,0.038658738563946304,0.00047338162911225723
H2+H4,sto-3g,STO-3G,4,cross_product,16,13,-3.2382328304699373,-3.276749682362902,0.03851685189296461,0.038658738563946304,0.0001418866709816946
H2+H4,sto-3g,STO-3G,4,joint,4,4,-3.2377176452753504,-3.2765865558791196,0.03886891060376918,0.038658738563946304,0.0002101720398228757
H2+H4,sto-3g,STO-3G,5,cross_product,25,16,-3.2383674506585534,-3.276995019198276,0.03862756853972282,0.038658738563946304,3.117002422348136e-05
H2+H4,sto-3g,STO-3G,5,joint,5,5,-3.238196806039574,-3.276915739491323,0.03871893345174904,0.038658738563946304,6.019488780273363e-05
H2+H4,sto-3g,STO-3G,6,cross_product,36,20,-3.2383946923547997,-3.2770573981421025,0.0386627057873028,0.038658738563946304,3.967223356493577e-06
H2+H4,sto-3g,STO-3G,6,joint,6,6,-3.238348867391344,-3.277024384277057,0.03867551688571291,0.038658738563946304,1.677832176660843e-05
H2+H4,sto-3g,STO-3G,7,cross_product,49,22,-3.2383982250628582,-3.2770672021894303,0.038668977126572024,0.038658738563946304,1.0238562625719538e-05
H2+H4,sto-3g,STO-3G,7,joint,7,7,-3.2383919799040184,-3.2770587043778923,0.03866672447387387,0.038658738563946304,7.98590992756587e-06
H2+H4,sto-3g,STO-3G,8,cross_product,64,25,-3.238406036026146,-3.277069688787349,0.03866365276120298,0.038658738563946304,4.914197256677966e-06
H2+H4,sto-3g,STO-3G,8,joint,8,7,-3.2383900933886745,-3.277065929255177,0.038675835866502695,0.038658738563946304,1.7097302556390304e-05
