N,variant,raw_dim,eff_dim,gs_total,abs_vs_mono,abs_vs_dimer,dt_mode,dt
1,cross_product,1,1,-2.253467934233134,0.0,0.049897529986646205,spectral_width,0.510690525334026
1,joint,1,1,-2.253467934233134,0.0,0.049897529986646205,spectral_width,0.510690525334026
2,cross_product,4,4,-2.2963890277420367,4.440892098500626e-16,0.006976436477743597,spectral_width,0.510690525334026
2,joint,2,2,-2.295984539054512,0.0004044886875251841,0.007380925165268337,spectral_width,0.510690525334026
3,cross_product,9,9,-2.3025329282238602,2.9753977059954195e-14,0.0008325359959200362,spectral_width,0.510690525334026
3,joint,3,3,-2.3019177439137377,0.0006151843101522836,0.0014477203060425659,spectral_width,0.510690525334026
4,cross_product,16,16,-2.30336325293436,1.432631790976302e-12,2.2112854201061793e-06,spectral_width,0.510690525334026
4,joint,4,4,-2.3028974584654947,0.00046579447029815313,0.0004680057542856275,spectral_width,0.510690525334026
