system,basis,label,N,variant,raw_dim,eff_dim,gs_total,E_exact,E_mono_sum_qkd,delta_vs_mono,delta_vs_dimer1000,abs_vs_mono,abs_vs_dimer1000
H2+H4,sto-3g,STO-3G,2,joint,2,2,-3.266938911086533,-3.2770698193835197,-3.2685668960130685,0.0016279849265354862,0.010130908296986707,0.0016279849265354862,0.010130908296986707
H2+H4,sto-3g,STO-3G,3,cross_product,9,6,-3.2747540017702077,-3.2770698193835197,-3.2747540017702086,8.881784197001252e-16,0.00231581761331201,8.881784197001252e-16,0.00231581761331201
H2+H4,sto-3g,STO-3G,3,joint,3,3,-3.2744787852458597,-3.2770698193835197,-3.2747540017702086,0.0002752165243489202,0.002591034137660042,0.0002752165243489202,0.002591034137660042
H2+H4,sto-3g,STO-3G,4,cross_product,16,8,-3.2763801937920722,-3.2770698193835197,-3.2763801937920736,1.3322676295501878e-15,0.0006896255914474736,1.3322676295501878e-15,0.0006896255914474736
H2+H4,sto-3g,STO-3G,4,joint,4,4,-3.2761190688769837,-3.2770698193835197,-3.2763801937920736,0.0002611249150898942,0.0009507505065360355,0.0002611249150898942,0.0009507505065360355
H2+H4,sto-3g,STO-3G,5,cross_product,25,10,-3.276806774721798,-3.2770698193835197,-3.2768067747217953,-2.6645352591003757e-15,0.00026304466172177854,2.6645352591003757e-15,0.00026304466172177854
H2+H4,sto-3g,STO-3G,5,joint,5,5,-3.2766767898583247,-3.2770698193835197,-3.2768067747217953,0.00012998486347060023,0.0003930295251950433,0.00012998486347060023,0.0003930295251950433
H2+H4,sto-3g,STO-3G,6,cross_product,36,12,-3.277001039181554,-3.2770698193835197,-3.277001039181553,-8.881784197001252e-16,6.878020196587897e-05,8.881784197001252e-16,6.878020196587897e-05
H2+H4,sto-3g,STO-3G,6,joint,6,6,-3.2769486625611983,-3.2770698193835197,-3.277001039181553,5.237662035462165e-05,0.0001211568223213888,5.237662035462165e-05,0.0001211568223213888
H2+H4,sto-3g,STO-3G,7,cross_product,49,14,-3.2770469960871544,-3.2770698193835197,-3.277046996087152,-2.220446049250313e-15,2.2823296365270807e-05,2.220446049250313e-15,2.2823296365270807e-05
H2+H4,sto-3g,STO-3G,7,joint,7,7,-3.277003948658145,-3.2770698193835197,-3.277046996087152,4.304742900718139e-05,6.587072537467265e-05,4.304742900718139e-05,6.587072537467265e-05
H2+H4,sto-3g,STO-3G,8,cross_product,64,16,-3.277068190916027,-3.2770698193835197,-3.2770681909160313,4.440892098500626e-15,1.6284674928535026e-06,4.440892098500626e-15,1.6284674928535026e-06
H2+H4,sto-3g,STO-3G,8,joint,8,8,-3.2770298361670247,-3.2770698193835197,-3.2770681909160313,3.835474900659719e-05,3.99832164950098e-05,3.835474900659719e-05,3.99832164950098e-05
H2+H4,sto-3g,STO-3G,9,cross_product,81,18,-3.2770693941124227,-3.2770698193835197,-3.277069394112419,-3.552713678800501e-15,4.252710970042983e-07,3.552713678800501e-15,4.252710970042983e-07
H2+H4,sto-3g,STO-3G,9,joint,9,9,-3.277052082139079,-3.2770698193835197,-3.277069394112419,1.7311973340206066e-05,1.7737244440763078e-05,1.7311973340206066e-05,1.7737244440763078e-05
H2+H4,sto-3g,STO-3G,10,cross_product,100,20,-3.2770697827975637,-3.2770698193835197,-3.2770697827975552,-8.43769498715119e-15,3.658595604250081e-08,8.43769498715119e-15,3.658595604250081e-08
H2+H4,sto-3g,STO-3G,10,joint,10,10,-3.2770574367933434,-3.2770698193835197,-3.2770697827975552,1.2346004211849504e-05,1.23825901763297e-05,1.2346004211849504e-05,1.23825901763297e-05
H2+H4,sto-3g,STO-3G,11,cross_product,121,22,-3.277069819006725,-3.2770698193835197,-3.2770698190067202,-4.884981308350689e-15,3.7679459552464323e-10,4.884981308350689e-15,3.7679459552464323e-10
H2+H4,sto-3g,STO-3G,11,joint,11,11,-3.277060542800567,-3.2770698193835197,-3.2770698190067202,9.276206153430167e-06,9.276582952910672e-06,9.276206153430167e-06,9.276582952910672e-06
H2+H4,sto-3g,STO-3G,12,cross_product,144,24,-3.2770698193835255,-3.2770698193835197,-3.277069819383519,-6.661338147750939e-15,-5.773159728050814e-15,6.661338147750939e-15,5.773159728050814e-15
H2+H4,sto-3g,STO-3G,12,joint,12,12,-3.2770645395244875,-3.2770698193835197,-3.277069819383519,5.279859031315226e-06,5.2798590322034045e-06,5.279859031315226e-06,5.2798590322034045e-06
H2+H2,6-31g,6-31G,1,cross_product,1,1,-2.253467934233135,-2.3033654642197856,-2.253467934233135,0.0,0.049897529986650646,0.0,0.049897529986650646
