system,basis,label,N,variant,raw_dim,eff_dim,E_R11,E_kron,delta,delta_exact,err_int
H2+H2,sto-3g,STO-3G,1,cross_product,1,1,-1.5624125588674929,-2.233368774170681,0.670956215303188,0.6645654949202733,0.006390720382914772
H2+H2,sto-3g,STO-3G,1,joint,1,1,-1.5624125588674929,-2.233368774170681,0.670956215303188,0.6645654949202733,0.006390720382914772
H2+H2,sto-3g,STO-3G,2,cross_product,4,4,-1.5980657572000778,-2.274540349321806,0.6764745921217283,0.6645654949202733,0.011909097201455054
H2+H2,sto-3g,STO-3G,2,joint,2,2,-1.590435909254004,-2.2740080022264526,0.6835720929724487,0.6645654949202733,0.019006598052175416
H2+H2,sto-3g,STO-3G,3,cross_product,9,9,-1.608984842321644,-2.2745403493218044,0.6655555070001604,0.6645654949202733,0.000990012079887137
H2+H2,sto-3g,STO-3G,3,joint,3,3,-1.6030607996839317,-2.274540349321805,0.6714795496378732,0.6645654949202733,0.006914054717599871
H2+H2,sto-3g,STO-3G,4,cross_product,16,16,-1.609873030978422,-2.2745403493218044,0.6646673183433824,0.6645654949202733,0.0001018234231091597
H2+H2,sto-3g,STO-3G,4,joint,4,4,-1.608467135429314,-2.2745403493218053,0.6660732138924912,0.6645654949202733,0.0015077189722179085
H2+H2,sto-3g,STO-3G,5,cross_product,25,20,-1.6099748544013863,-2.2745403493218066,0.6645654949204203,0.6645654949202733,1.4699352846037073e-13
H2+H2,sto-3g,STO-3G,5,joint,5,5,-1.6093967249817664,-2.274540349321805,0.6651436243400384,0.6645654949202733,0.0005781294197650944
H2+H2,sto-3g,STO-3G,6,cross_product,36,20,-1.6099748544015213,-2.274540349321805,0.6645654949202835,0.6645654949202733,1.021405182655144e-14
H2+H2,sto-3g,STO-3G,6,joint,6,6,-1.609826720949127,-2.2745403493218057,0.6647136283726787,0.6645654949202733,0.00014813345240538567
H2+H2,sto-3g,STO-3G,7,cross_product,49,20,-1.6099748544015284,-2.2745403493218066,0.6645654949202782,0.6645654949202733,4.884981308350689e-15
H2+H2,sto-3g,STO-3G,7,joint,7,7,-1.6099094175652526,-2.2745403493218053,0.6646309317565526,0.6645654949202733,6.543683627935337e-05
H2+H2,sto-3g,STO-3G,8,cross_product,64,20,-1.609974854401515,-2.2745403493218026,0.6645654949202875,0.6645654949202733,1.4210854715202004e-14
H2+H2,sto-3g,STO-3G,8,joint,8,8,-1.6099710543769241,-2.274540349321805,0.6645692949448807,0.6645654949202733,3.8000246074254562e-06
H2+H2,6-31g,6-31G,1,cross_product,1,1,-1.7019948888393133,-2.2534679342331354,0.5514730453938221,0.5408354480361908,0.010637597357631368
H2+H2,6-31g,6-31G,1,joint,1,1,-1.7019948888393133,-2.2534679342331354,0.5514730453938221,0.5408354480361908,0.010637597357631368
H2+H2,6-31g,6-31G,2,cross_product,4,4,-1.749013795454375,-2.295310779925542,0.5462969844711671,0.5408354480361908,0.005461536434976377
H2+H2,6-31g,6-31G,2,joint,2,2,-1.7431284375734029,-2.2949056601089692,0.5517772225355664,0.5408354480361908,0.010941774499375612
H2+H2,6-31g,6-31G,3,cross_product,9,8,-1.7573407725614123,-2.302242788763527,0.5449020162021148,0.5408354480361908,0.004066568165923989
H2+H2,6-31g,6-31G,3,joint,3,3,-1.7543546907129839,-2.3017428920018466,0.5473882012888627,0.5408354480361908,0.006552753252671906
H2+H2,6-31g,6-31G,4,cross_product,16,12,-1.7606778908232483,-2.30336194210189,0.5426840512786417,0.5408354480361908,0.0018486032424509524
H2+H2,6-31g,6-31G,4,joint,4,4,-1.758561992145224,-2.302766280396854,0.5442042882516298,0.5408354480361908,0.0033688402154390396
H2+H2,6-31g,6-31G,5,cross_product,25,14,-1.7607533333797978,-2.3033654590151698,0.542612125635372,0.5408354480361908,0.001776677599181209
H2+H2,6-31g,6-31G,5,joint,5,5,-1.7606298336667487,-2.3032679058890873,0.5426380722223385,0.5408354480361908,0.0018026241861477388
H2+H2,6-31g,6-31G,6,cross_product,36,16,-1.7618113621925584,-2.303365464179117,0.5415541019865584,0.5408354480361908,0.0007186539503676315
H2+H2,6-31g,6-31G,6,joint,6,5,-1.7606074852751759,-2.3033463362391204,0.5427388509639446,0.5408354480361908,0.0019034029277538167
