system,basis,R,N,variant,raw_dim,eff_dim,gs_total,E_exact,E_mono_sum_exact,E_mono_sum_qkd,E_mono_sum,delta_vs_mono,delta_vs_dimer1000,SC_err,gs_err,active,mono_active,SC_err_cas,abs_vs_mono,abs_vs_dimer1000
H2+H4,6-31g,1000.0,1,hybrid,2,1,-3.270084603245997,-3.289093092137568,-3.289093096628687,-3.2700846032459348,-3.2700846032459348,-6.217248937900877e-14,0.01900848889157114,6.217248937900877e-14,0.01900848889157114,cas66,cas22+cas44,0.01900848889157114,6.217248937900877e-14,0.01900848889157114
H2+H4,6-31g,1000.0,1,joint,1,1,-3.270084603245996,-3.289093092137568,-3.289093096628687,-3.2700846032459348,-3.2700846032459348,-6.128431095930864e-14,0.01900848889157203,6.128431095930864e-14,0.01900848889157203,cas66,cas22+cas44,0.01900848889157203,6.128431095930864e-14,0.01900848889157203
H2+H4,6-31g,1000.0,1,novel,1,1,-3.270084603245996,-3.289093092137568,-3.289093096628687,-3.2700846032459348,-3.2700846032459348,-6.128431095930864e-14,0.01900848889157203,6.128431095930864e-14,0.01900848889157203,cas66,cas22+cas44,0.01900848889157203,6.128431095930864e-14,0.01900848889157203
H2+H4,6-31g,1000.0,2,hybrid,6,5,-3.288018330721977,-3.289093092137568,-3.289093096628687,-3.287326351939298,-3.287326351939298,-0.0006919787826791257,0.0010747614155910412,0.0006919787826791257,0.0010747614155910412,cas66,cas22+cas44,0.0010747614155910412,0.0006919787826791257,0.0010747614155910412
H2+H4,6-31g,1000.0,2,joint,2,2,-3.2870590017591885,-3.289093092137568,-3.289093096628687,-3.287326351939298,-3.287326351939298,0.0002673501801093714,0.0020340903783795383,0.0002673501801093714,0.0020340903783795383,cas66,cas22+cas44,0.0020340903783795383,0.0002673501801093714,0.0020340903783795383
H2+H4,6-31g,1000.0,2,novel,4,4,-3.2876438131312486,-3.289093092137568,-3.289093096628687,-3.287326351939298,-3.287326351939298,-0.00031746119195075195,0.001449279006319415,0.00031746119195075195,0.001449279006319415,cas66,cas22+cas44,0.001449279006319415,0.00031746119195075195,0.001449279006319415
H2+H4,6-31g,1000.0,3,hybrid,12,11,-3.289010141752657,-3.289093092137568,-3.289093096628687,-3.2886393019774607,-3.2886393019774607,-0.0003708397751962522,8.295038491112905e-05,0.0003708397751962522,8.295038491112905e-05,cas66,cas22+cas44,8.295038491112905e-05,0.0003708397751962522,8.295038491112905e-05
H2+H4,6-31g,1000.0,3,joint,3,3,-3.2886089850263156,-3.289093092137568,-3.289093096628687,-3.2886393019774607,-3.2886393019774607,3.0316951145081816e-05,0.0004841071112524631,3.0316951145081816e-05,0.0004841071112524631,cas66,cas22+cas44,0.0004841071112524631,3.0316951145081816e-05,0.0004841071112524631
H2+H4,6-31g,1000.0,3,novel,9,9,-3.2888538157099836,-3.289093092137568,-3.289093096628687,-3.2886393019774607,-3.2886393019774607,-0.00021451373252290296,0.0002392764275844783,0.00021451373252290296,0.0002392764275844783,cas66,cas22+cas44,0.0002392764275844783,0.00021451373252290296,0.0002392764275844783
H2+H4,6-31g,1000.0,4,hybrid,20,16,-3.2890738791013066,-3.289093092137568,-3.289093096628687,-3.2890005918537475,-3.2890005918537475,-7.32872475590618e-05,1.9213036261511718e-05,7.32872475590618e-05,1.9213036261511718e-05,cas66,cas22+cas44,1.9213036261511718e-05,7.32872475590618e-05,1.9213036261511718e-05
H2+H4,6-31g,1000.0,4,joint,4,4,-3.2889672775652032,-3.289093092137568,-3.289093096628687,-3.2890005918537475,-3.2890005918537475,3.331428854425056e-05,0.00012581457236482407,3.331428854425056e-05,0.00012581457236482407,cas66,cas22+cas44,0.00012581457236482407,3.331428854425056e-05,0.00012581457236482407
