system,basis,R,N,variant,raw_dim,eff_dim,gs_total,E_exact,E_mono_sum_exact,E_mono_sum_qkd,E_mono_sum,delta_vs_mono,delta_vs_dimer1000,SC_err,gs_err,active,mono_active,SC_err_cas,abs_vs_mono,abs_vs_dimer1000
H2+H2,6-31g,1000.0,4,joint,4,4,-2.3028988602575673,-2.303228640449947,-2.303228639874515,-2.3032266280163354,-2.3032266280163354,0.00032776775876808273,0.000329780192379836,0.00032776775876808273,0.000329780192379836,,,,0.00032776775876808273,0.000329780192379836
H2+H2,6-31g,1000.0,4,novel,16,13,-2.302891527566473,-2.303228640449947,-2.303228639874515,-2.3032266280163354,-2.3032266280163354,0.00033510044986240217,0.00033711288347415547,0.00033510044986240217,0.00033711288347415547,,,,0.00033510044986240217,0.00033711288347415547
H2+H2,6-31g,1000.0,5,hybrid,30,16,-2.303197477825095,-2.303228640449947,-2.303228639874515,-2.303226585920191,-2.303226585920191,2.9108095096042064e-05,3.1162624852143495e-05,2.9108095096042064e-05,3.1162624852143495e-05,,,,2.9108095096042064e-05,3.1162624852143495e-05
H2+H2,6-31g,1000.0,5,joint,5,5,-2.3031920619865955,-2.303228640449947,-2.303228639874515,-2.303226585920191,-2.303226585920191,3.452393359548722e-05,3.657846335158865e-05,3.452393359548722e-05,3.657846335158865e-05,,,,3.452393359548722e-05,3.657846335158865e-05
H2+H2,6-31g,1000.0,5,novel,25,14,-2.3029342961970114,-2.303228640449947,-2.303228639874515,-2.303226585920191,-2.303226585920191,0.0002922897231796284,0.00029434425293572986,0.0002922897231796284,0.00029434425293572986,,,,0.0002922897231796284,0.00029434425293572986
H2+H2,6-31g,1000.0,6,hybrid,42,19,-2.3032078774446454,-2.303228640449947,-2.303228639874515,-2.303226533275523,-2.303226533275523,1.865583087745648e-05,2.0763005301738247e-05,1.865583087745648e-05,2.0763005301738247e-05,,,,1.865583087745648e-05,2.0763005301738247e-05
H2+H2,6-31g,1000.0,6,joint,6,5,-2.303191243850165,-2.303228640449947,-2.303228639874515,-2.303226533275523,-2.303226533275523,3.5289425357909465e-05,3.739659978219123e-05,3.5289425357909465e-05,3.739659978219123e-05,,,,3.5289425357909465e-05,3.739659978219123e-05
H2+H2,6-31g,1000.0,6,novel,36,16,-2.302951321151407,-2.303228640449947,-2.303228639874515,-2.303226533275523,-2.303226533275523,0.0002752121241158534,0.00027731929854013515,0.0002752121241158534,0.00027731929854013515,,,,0.0002752121241158534,0.00027731929854013515
H2+H2,6-31g,1000.0,7,hybrid,56,22,-2.3032266319993546,-2.303228640449947,-2.303228639874515,-2.3032264693308893,-2.3032264693308893,-1.626684653643906e-07,2.0084505925055396e-06,1.626684653643906e-07,2.0084505925055396e-06,,,,1.626684653643906e-07,2.0084505925055396e-06
H2+H2,6-31g,1000.0,7,joint,7,6,-2.3032275647642697,-2.303228640449947,-2.303228639874515,-2.3032264693308893,-2.3032264693308893,-1.0954333804491512e-06,1.075685677420779e-06,1.0954333804491512e-06,1.075685677420779e-06,,,,1.0954333804491512e-06,1.075685677420779e-06
H2+H2,6-31g,1000.0,7,novel,49,18,-2.3030502590625934,-2.303228640449947,-2.303228639874515,-2.3032264693308893,-2.3032264693308893,0.00017621026829583997,0.0001783813873537099,0.00017621026829583997,0.0001783813873537099,,,,0.00017621026829583997,0.0001783813873537099
H2+H2,6-31g,1000.0,8,hybrid,72,23,-2.3032276912504077,-2.303228640449947,-2.303228639874515,-2.3032286368275248,-2.3032286368275248,9.455771170507887e-07,9.491995394128594e-07,9.455771170507887e-07,9.491995394128594e-07,,,,9.455771170507887e-07,9.491995394128594e-07
H2+H2,6-31g,1000.0,8,joint,8,6,-2.303227497371969,-2.303228640449947,-2.303228639874515,-2.3032286368275248,-2.3032286368275248,1.1394555556876185e-06,1.1430779780496891e-06,1.1394555556876185e-06,1.1430779780496891e-06,,,,1.1394555556876185e-06,1.1430779780496891e-06
H2+H2,6-31g,1000.0,8,novel,64,20,-2.3030686413898067,-2.303228640449947,-2.303228639874515,-2.3032286368275248,-2.3032286368275248,0.00015999543771805236,0.00015999906014041443,0.00015999543771805236,0.00015999906014041443,,,,0.00015999543771805236,0.00015999906014041443
H2+H4,6-31g,1000.0,1,hybrid,2,1,-3.270084603245997,-3.289093092137568,-3.289093096628687,-3.2700846032459348,-3.2700846032459348,-6.217248937900877e-14,0.01900848889157114,6.217248937900877e-14,0.01900848889157114,cas66,cas22+cas44,0.01900848889157114,6.217248937900877e-14,0.01900848889157114
H2+H4,6-31g,1000.0,1,joint,1,1,-3.270084603245996,-3.289093092137568,-3.289093096628687,-3.2700846032459348,-3.2700846032459348,-6.128431095930864e-14,0.01900848889157203,6.128431095930864e-14,0.01900848889157203,cas66,cas22+cas44,0.01900848889157203,6.128431095930864e-14,0.01900848889157203
H2+H4,6-31g,1000.0,1,novel,1,1,-3.270084603245996,-3.289093092137568,-3.289093096628687,-3.2700846032459348,-3.2700846032459348,-6.128431095930864e-14,0.01900848889157203,6.128431095930864e-14,0.01900848889157203,cas66,cas22+cas44,0.01900848889157203,6.128431095930864e-14,0.01900848889157203
H2+H4,6-31g,1000.0,2,hybrid,6,5,-3.288018330721977,-3.289093092137568,-3.289093096628687,-3.287326351939298,-3.287326351939298,-0.0006919787826791257,0.0010747614155910412,0.0006919787826791257,0.0010747614155910412,cas66,cas22+cas44,0.0010747614155910412,0.0006919787826791257,0.0010747614155910412
H2+H4,6-31g,1000.0,2,joint,2,2,-3.2870590017591885,-3.289093092137568,-3.289093096628687,-3.287326351939298,-3.287326351939298,0.0002673501801093714,0.0020340903783795383,0.0002673501801093714,0.0020340903783795383,cas66,cas22+cas44,0.0020340903783795383,0.0002673501801093714,0.0020340903783795383
H2+H4,6-31g,1000.0,2,novel,4,4,-3.2876438131312486,-3.289093092137568,-3.289093096628687,-3.287326351939298,-3.287326351939298,-0.00031746119195075195,0.001449279006319415,0.00031746119195075195,0.001449279006319415,cas66,cas22+cas44,0.001449279006319415,0.00031746119195075195,0.001449279006319415
H2+H4,6-31g,1000.0,3,hybrid,12,11,-3.289010141752657,-3.289093092137568,-3.289093096628687,-3.2886393019774607,-3.2886393019774607,-0.0003708397751962522,8.295038491112905e-05,0.0003708397751962522,8.295038491112905e-05,cas66,cas22+cas44,8.295038491112905e-05,0.0003708397751962522,8.295038491112905e-05
