basis,R,N,E_exact,E_joint,E_novel,delta_exact,delta_P1,delta_P2,delta_P3,err_P1,err_P2,err_P3,novel_raw_dim
sto-3g,1000.0,6,-2.2746120715067866,-2.2746120715067866,-2.274612071506783,1.1546319456101628e-14,0.0,1.1546319456101628e-14,1.509903313490213e-14,1.1546319456101628e-14,0.0,3.552713678800501e-15,36
sto-3g,100.0,6,-2.274612071504755,-2.2746120715047584,-2.274612071504761,2.043254454520138e-12,2.028155421385236e-12,2.0397017408413376e-12,2.0370372055822372e-12,1.509903313490213e-14,3.552713678800501e-15,6.217248937900877e-15,36
sto-3g,10.0,6,-2.274611947861709,-2.2746119478595754,-2.27461194767626,1.2364508927831253e-07,1.236472111365572e-07,1.2364722268287665e-07,1.2383053826781065e-07,2.121858244663599e-12,2.133404564119701e-12,1.8544898949812705e-10,36
sto-3g,1.1,6,-1.6275158749550336,-1.6273766302277517,-1.627514991883487,0.6470961965517645,0.6472354412790349,0.6472354412790464,0.6470970796233111,0.00013924472727033788,0.0001392447272818842,8.830715465535377e-07,36
