system,basis,R,joint_dim,use_sparse,norm_H_ab,dress_residual,sum_minus_tot,delta_exact,E,active
H2+H2,sto-3g,1.1,64,False,5.023193882982085,2.6645352591003757e-15,2.6645352591003757e-15,0.6470961965517779,-1.6275158749550203,
H2+H2,sto-3g,1000.0,64,False,2.1761574322175967,1.3322676295501878e-15,1.3322676295501878e-15,1.1546319456101628e-14,-2.2746120715067866,
H2+H4,sto-3g,1.1,4096,True,3.2708174846818556,7.99401425197844e-15,7.994000378284628e-15,0.039039196404101695,-3.2338014377420734,full
H2+H4,sto-3g,1000.0,4096,True,2.407548546810042,5.995277125704143e-15,6.217342962210036e-15,5.964118088286341e-12,-3.272840634140211,full
H2+H2,6-31g,1.1,16384,True,14.966514433999599,2.3093689408677676e-14,2.1317870165205588e-14,0.5247495635650328,-1.7784790763094707,
H2+H2,6-31g,1000.0,16384,True,9.063635154952808,1.3323792056219268e-14,1.421155166999966e-14,-8.487432978654397e-12,-2.303228639882991,
H2+H4,6-31g,1.1,4096,True,2.5930203237786595,7.993740616851132e-15,8.881918309243893e-15,0.028858746098801014,-3.260234350529897,cas66
H2+H4,6-31g,1000.0,4096,True,1.788639802148411,6.71688132349941e-15,7.105457988115662e-15,4.491100824566274e-09,-3.2890930921375974,cas66
