basis,label,N_max,dimer_dim,use_sparse,E_mono,delta_exact_R1p1,err_P1_Nmax,err_P2_Nmax,err_P3_Nmax,gs_err_joint_Nmax,gs_err_novel_Nmax,novel_raw_dim_Nmax,SC_err_joint_peak,SC_err_novel_Nmax,P1_ne_P2
sto-3g,STO-3G,6,64,False,-1.137306035753399,0.6470961965517645,0.00013924472727033788,0.0001392447272818842,8.830715465535377e-07,0.0001392447272818842,8.830715465535377e-07,36,0.0005029017586064555,1.4210854715202004e-14,True
6-31g,6-31G,8,16384,True,-1.1516143199372522,0.5247495635650141,0.0006477549107568592,0.0006488979661272154,0.005575276314732314,0.0006488979661272154,0.005575276314732314,64,0.0005122613401926657,0.0005474249759709338,True
